,id,td_a,td_b,td_type_a,td_type_b,size_td_a,size_td_b
0,E6qhwJpsLQhNPfEaczXv49,"[-1, -3, 9, 2, -2, 3, -2, 13, 1, 7]","[9, -2, 10, 6, -1, 0, 12, 1, -1, 3]",<class 'list'>,<class 'list'>,10,10
1,3i86SmSgYQpBv5voiU8NEp,"[-6, 1, 3, -6, -7, -3, -2, -2, 1, 6]","[-4, 0, 4, -4, 0, -2, 3, -3, 4, 2]",<class 'list'>,<class 'list'>,10,10
2,Zi7sdJwaK9gQS4koeCP7sh,"[-4, -3, -2, -4, 2, 0, -5, 4]","[0, 2, 4, -6, 0, -2, 4, -6]",<class 'list'>,<class 'list'>,8,8
3,TxBDZhcmoq8qaDHc3A7hWX,"[12, -2, 0, 4, 1, 11, -2]","[3, 4, 10, 11, -2, 1, 3]",<class 'list'>,<class 'list'>,7,7
4,jzjYGy5YNkgVckpfCx9Gz5,"[-14, -5, 5, -1, 1]","[3, 5, 2, -14, 7]",<class 'list'>,<class 'list'>,5,5
5,fQafKUzW3bhku8BHDw3Z57,"[-1, 4, 4, 5]","[1, -2, -3, -3]",<class 'list'>,<class 'list'>,4,4
6,BbohtGgMbSwTbfHQ5RLXxa,"[2, 5, -3, 11, 10, 0, -8, -5, 11]","[-5, 6, 3, 2, 0, -7, -5, 3, -8]",<class 'list'>,<class 'list'>,9,9
7,3w3cWUuwHG6WrqAju2enuG,"[-8, 7, -2, 4, -10]","[5, -10, -2, 11, -4]",<class 'list'>,<class 'list'>,5,5
8,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
9,NR5vJpQS66BUoKsWDb65Va,"[5, 13, -2, 4, -4]","[-1, 6, -5, -1, 16]",<class 'list'>,<class 'list'>,5,5
10,7MKSbEhvHReYNc6gdcr9Wb,"[4, -1, 6, -7, 11, 13, -1]","[-1, 3, -8, -2, 0, 7, 1]",<class 'list'>,<class 'list'>,7,7
11,BGNrSwpxgWiy2D5ffLd333,"[1, 0, 14, 6, 14]","[18, 17, -2, 16, 14]",<class 'list'>,<class 'list'>,5,5
12,fhCrXnD7Dz2HThMXeDn4La,"[-1, 5, 11, 0, 0, 7]","[-2, -4, 12, 7, 1, 4]",<class 'list'>,<class 'list'>,6,6
13,EzXqQkte9bhZhnjX9Qehtu,"[3, 1, -4, 6, 7]","[-2, 5, -4, -7, 3]",<class 'list'>,<class 'list'>,5,5
14,Hs9pGRcFVpPHV56Xy6Aeiq,"[2, -8, 1, -4, -8, -2, -4, -12, -7, -11, -1, -3, -1]","[-3, -9, -8, -3, -10, -10, -2, -1, 3, -5, -13, -3, -4]",<class 'list'>,<class 'list'>,13,13
15,AV8AWHp34HfbxokvNc2qpk,"[7, -19, -2, -17, -11, 0, -13, -4, -12, -9, -10, 6]","[10, -15, 7, -9, -14, -11, -18, 9, -3, -3, -6, 3]",<class 'list'>,<class 'list'>,12,12
16,WjEwE9nz6tBLoN2vcTH5cB,"[-14, -16, 5]","[-1, -15, -5]",<class 'list'>,<class 'list'>,3,3
17,J6LGQ6heiHwuBaAXekgCTN,"[7, -1, 3, 11, -4, -8, -9, 8, 9, -2, 2]","[6, 0, 16, -15, 1, 11, -12, 10, 11, -2, -14]",<class 'list'>,<class 'list'>,11,11
18,3cxb3A5Lk7CrNGApaejrfR,"[-2, -5, -6, -6, -7, -3, -2, -11, 4, 5, -13, -5, 5]","[-9, 2, -17, -4, -15, -5, -1, -14, -11, -16, -12, 3, 1]",<class 'list'>,<class 'list'>,13,13
19,GuJTUWrJJgiVEHjo3Ya8Lk,"[0, -1, 11, -3]","[14, 16, -3, 16]",<class 'list'>,<class 'list'>,4,4
20,kh23cifQoceS2M5VBHoSZF,"[-7, 11, -4, 13, 1, 7, 12, -10, 2, 0, 14, -8, -15, -3]","[7, -14, -7, 10, 18, 5, 18, 10, -11, -6, 2, 5, 5, 4]",<class 'list'>,<class 'list'>,14,14
21,Nzhzf8xL7qCskdNCvN8FwP,"[-8, 15, 3, 9, -2, 1, 15, -2, -4]","[5, -1, 15, 8, 0, 2, 7, 10, 12]",<class 'list'>,<class 'list'>,9,9
22,g5QHPh3HCi3DkVpvQVc2AM,"[12, -6, 10, 11, -6]","[-5, -10, 5, 11, -3]",<class 'list'>,<class 'list'>,5,5
23,Ekhx3oKHfiBgbtaKoDTWhL,"[-4, -13, -10, -4, -9, 8, 7, -14, -1, -2, -16, 4, -6, 6]","[-10, -5, -1, -5, 9, 6, -13, -6, -11, 6, -1, -14, 3, 5]",<class 'list'>,<class 'list'>,14,14
24,3xey7W9d8MXNrhtjJshbV3,"[14, 9, 2, 12, 5, -3]","[8, -2, -4, 8, -3, -6]",<class 'list'>,<class 'list'>,6,6
25,2dRFdfcgLhNcyRABetTQVm,"[8, 5, -6, -5, -3, 4, -2, 2, 9, 8, -6, 1, 2]","[4, -6, -7, 11, -4, 4, 6, 1, -3, -7, 1, 6, 10]",<class 'list'>,<class 'list'>,13,13
26,69h9iTFT8Svfbja2XNVB7a,"[-12, -3, -12, 7, -14, -13, -5, -13, 7, 3, -2, 5, -4]","[-4, -14, -9, -15, -6, -13, 4, -8, -17, -16, 6, -17, -15]",<class 'list'>,<class 'list'>,13,13
27,LdWfK7jhFpibRBCmFQ5ZtE,"[-9, -12, -8, 2, -11]","[-1, 1, 5, 3, 2]",<class 'list'>,<class 'list'>,5,5
28,dvsn26uToSWCBDTvQosHki,"[8, -12, -14]","[-16, 2, 4]",<class 'list'>,<class 'list'>,3,3
29,YbQjGva9VG5kCwhsB7Uqbf,"[-6, 6, 4]","[-18, -3, -8]",<class 'list'>,<class 'list'>,3,3
30,DWBunhs2J5iPNxZCmpon8e,"[5, -4, 10, 10]","[3, 7, 12, 7]",<class 'list'>,<class 'list'>,4,4
31,Ta3yLGzvf8Z8sS3dqjwsXj,"[0, -4, -8, 4, 9, 6, -1, -1, 4, -14]","[8, -4, -8, -2, -3, 6, 6, 12, 2, -15]",<class 'list'>,<class 'list'>,10,10
32,Yc8umFeHUdbXcpNDGHjgsr,"[-5, 14, 0, 5, 8]","[-1, 1, 7, 3, 0]",<class 'list'>,<class 'list'>,5,5
33,3AH3CCfBeQTnr882izr6PJ,"[0, 14, -13]","[0, -9, 7]",<class 'list'>,<class 'list'>,3,3
34,3Ch2Pj8MQb29aFQiXsFJUy,"[11, -5, -2, 5, 10, 6, -5, 9, -3, 14, 0, 10, 6]","[8, 2, 4, -4, 6, 15, -1, 11, -1, 7, -4, 8, -3]",<class 'list'>,<class 'list'>,13,13
35,mmCPrXdu7dzrxq97F8yAgR,"[6, -5, 5, -3, -3, -7, 4, -7, 1, 4, -3]","[1, 10, 9, 4, 2, 2, -4, -1, 3, -7, 9]",<class 'list'>,<class 'list'>,11,11
36,Zso3emtkdjX6k6thajHyUi,"[9, -8, -6, 7, 8, -8, -7, 1, 2, 4, -7, -3, 3, 1]","[4, -5, 3, 0, -6, 0, 0, 0, 8, 5, 10, 0, -6, -7]",<class 'list'>,<class 'list'>,14,14
