,id,td_a,td_b,td_type_a,td_type_b,size_td_a,size_td_b
0,FDSVxFWGQZEGpZ7GTuNWsA,"[-5, -6, -1, 4]","[1, 3, 3, 4]",<class 'list'>,<class 'list'>,4,4
1,DuSEGDtQVtcdpBKTTdxRsL,"[-2, 0, -1, -7, -15, -12, 10, 9, 6, -12, -6]","[-9, -11, -6, -2, -12, -15, -12, -5, -3, -13, 0]",<class 'list'>,<class 'list'>,11,11
2,4UDKjmPURpX8N2K35XiiZE,"[-7, 16, 8, 16, -13, 16, 0, -6, -9, -10, 7]","[10, -1, 6, 0, 8, 11, 14, -1, 8, 11, -3]",<class 'list'>,<class 'list'>,11,11
3,ZT94U7AC9ugnngkQKwpUb9,"[-18, -1, -11, -7, 12, -15, -10, -5, 9, -2]","[11, -8, 7, -1, 2, 2, -17, -16, 7, -18]",<class 'list'>,<class 'list'>,10,10
4,fKgxfDhtvW7m8usu8ReykR,"[1, -2, 5, 2, -17, 8, -7, 11, -7, 14]","[-6, -11, -6, -3, 2, -14, 14, 4, 14, -7]",<class 'list'>,<class 'list'>,10,10
5,AaVGmi54j3rB7SuFBq2xb9,"[-9, 18, -12, 5, -2, 9, 2]","[-11, -12, 0, 14, 18, 5, 13]",<class 'list'>,<class 'list'>,7,7
6,4SSdMkY8wwMgRe4fk4ys78,"[3, 6, -10, -13]","[-7, -3, -5, 0]",<class 'list'>,<class 'list'>,4,4
7,cg3wipaWn9nNkZLXbNkoN2,"[-1, 0, 2, 2, 3]","[-6, -6, -1, 4, -6]",<class 'list'>,<class 'list'>,5,5
8,b3rLf5u3Z92qU2CccLn29J,"[-1, -2, 4, -8, 9]","[-3, 12, 8, 14, -2]",<class 'list'>,<class 'list'>,5,5
9,P94mqU9U34fUNriK56BCbR,"[7, -15, -16, 5, -5, 6, -18, -12, -13, -10, -3, -14, -14, -12]","[-3, -16, 0, 5, -11, 3, -9, 0, -2, 4, -5, -3, -10, 7]",<class 'list'>,<class 'list'>,14,14
10,VF9tphTjJbtbiYuCpGdmiU,"[-3, 4, -2, 4, -5, 0]","[-4, -1, -1, -2, 3, 0]",<class 'list'>,<class 'list'>,6,6
11,GneMwWurgRa29YpChNpjjp,"[4, -10, 2, 8, -2, 8, 7, 10, 9, -9, 0, -3]","[9, 3, -4, -7, 4, -3, 0, 10, 7, 0, -6, -12]",<class 'list'>,<class 'list'>,12,12
12,NkS6ngU87S9JeyS7ZCmtHK,"[-7, 7, 15]","[10, -5, 15]",<class 'list'>,<class 'list'>,3,3
13,CNFPTV8FdXKGSNMjWPtoWp,[],[],<class 'list'>,<class 'list'>,0,0
14,i23jE3PdCqQ3ySs4Cc6zXF,"[-5, 10, -13, 3, -5, 11]","[-4, 10, -10, 1, -8, 0]",<class 'list'>,<class 'list'>,6,6
15,68SpwndMTJtqo2HohGqvMk,"[1, -4, -10, 0, 5, -7, -11, -12, -6]","[4, -2, 2, -15, -8, -1, -7, -18, 0]",<class 'list'>,<class 'list'>,9,9
16,UrRT2FVWfAm6Xd87D9HcoH,"[2, 2, -5, -2, 0, -12, -16, -15, -12, -10, -1, -7]","[-15, -14, -8, -14, -4, -15, -10, -15, 2, -16, -13, -17]",<class 'list'>,<class 'list'>,12,12
17,DL65n4NXudLnsTPocbEFzd,"[8, 0, 3, 6, 7, 8, 6]","[3, -4, 5, 7, 4, 3, -3]",<class 'list'>,<class 'list'>,7,7
