,id,td_a,td_b,td_c,td_type_a,td_type_b,td_type_c,size_td_a,size_td_b
0,THJwLWFBaFwhbjCbsGbzYM,"[3, 4, 7]","[2, -3, -3]",17,<class 'list'>,<class 'list'>,<class 'list'>,3,3
1,BYkip9xqgDZ4opTRQvsnrU,"[-1, 2]","[6, -9]",-3,<class 'list'>,<class 'list'>,<class 'list'>,2,2
2,HSd4xmtVBxsAVUmbDHtYaP,"[13, -12]","[3, -1]",18,<class 'list'>,<class 'list'>,<class 'list'>,2,2
3,E8puLeBSdsgLXRnNJHAxBc,"[1, -1]","[10, 2]",11,<class 'list'>,<class 'list'>,<class 'list'>,2,2
4,JPm7EiuLYnSjqjM6YDx6qu,"[-6, 0, -4, -14, -8]","[1, 2, -12, -9, -3]",0,<class 'list'>,<class 'list'>,<class 'list'>,5,5
5,bkP7dBJWzeFFkx8ZS3ZTfT,"[3, -6, -1, 3]","[1, -3, -1, 0]",-16,<class 'list'>,<class 'list'>,<class 'list'>,4,4
6,fm6rJUChdx7iTSuSHuVimU,"[-16, -11, -18, 12, 16, -13, -5, 13, 5, 4, -10, 5, 10, 16]","[10, -5, -3, -6, -8, 9, 4, -10, -8, -11, 0, 2, 9, -16]",-16,<class 'list'>,<class 'list'>,<class 'list'>,14,14
7,TK8yDxw3EEEwGDiv8yZERF,"[13, -4, 5, 9, 12]","[-16, 1, -8, 8, -11]",13,<class 'list'>,<class 'list'>,<class 'list'>,5,5
8,Y8kwk893H4Sc6aaPez3FfS,"[-5, 2, -14, 1, -5, -7]","[-4, 2, 1, 12, 10, -3]",18,<class 'list'>,<class 'list'>,<class 'list'>,6,6
9,GrCDGEpyXtKA8za67MaQTz,"[2, -9, 2, -3, 1, -2, 4, -8, -5, -7, 1, -2, 0]","[8, -3, -6, 5, 0, 6, 0, -5, -1, 7, 5, -4, -10]",11,<class 'list'>,<class 'list'>,<class 'list'>,13,13
10,3PZ6xwvy33ubtCtKi9Ba6u,"[8, -11, 0, -6, 9, -5, 4, -14, 9, -8, 3, -10, -6, 0]","[-7, 2, -5, 7, 4, 2, -6, -8, 6, 8, -11, -5, 9, -9]",-5,<class 'list'>,<class 'list'>,<class 'list'>,14,14
11,CNFPTV8FdXKGSNMjWPtoWp,[],[],-2,<class 'list'>,<class 'list'>,<class 'list'>,0,0
12,VmGaAQKMfnPCZeMQCLMoNC,"[14, 3, 1, 13, 16, 10]","[3, -5, 3, 10, 8, 14]",-6,<class 'list'>,<class 'list'>,<class 'list'>,6,6
13,nTETmTvwZ972bB7NLjQ9vA,"[-5, 0, 7, -1, -6, 3, -2, 13, -1, -6, -1, -2, -5, 4]","[0, -3, -3, -6, -5, 5, 10, 0, 5, -6, -3, 15, -5, 12]",12,<class 'list'>,<class 'list'>,<class 'list'>,14,14
14,FGTuUVyLNyGMAroMLF7KB5,"[-4, -11]","[2, 10]",-4,<class 'list'>,<class 'list'>,<class 'list'>,2,2
15,CNFPTV8FdXKGSNMjWPtoWp,[],[],11,<class 'list'>,<class 'list'>,<class 'list'>,0,0
16,3uMjqvCi3xZ4tYwFXj27Xr,"[-8, 4, 5, -3, 3, -5, -1, 0, 9, -11]","[9, -3, 9, -12, 2, -12, -16, 1, -6, -16]",7,<class 'list'>,<class 'list'>,<class 'list'>,10,10
17,D9vSdeJEpq37CYc43fd9od,[0],[-5],19,<class 'list'>,<class 'list'>,<class 'list'>,1,1
18,PAJ9Ax2FkkxMKTHiBLqyou,"[1, -5, 4, 11, 5, -8, -14, 9, -8]","[-12, -10, 9, 3, -8, -15, 13, 4, -8]",15,<class 'list'>,<class 'list'>,<class 'list'>,9,9
19,CK3ftC4dpeQiqiZfVipkjL,"[-10, -11, 2, -9, 3, -8, 4, -5, -12, 4, -3, -6, -1]","[-4, -9, 0, 3, -12, -8, -8, -7, -5, 0, -12, -5, -1]",-5,<class 'list'>,<class 'list'>,<class 'list'>,13,13
