,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[1, -2, -15]","[-2, -15, 1]","[3, 0, -13]","[2, -4, -30]","[1.0, -0.5, -0.06666666666666667]","[1, 2, -2, -15]","[1, -2]",-16,-16,-10,-32,0.43333333333333335,-14,-1,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
1,[],[],[],[],[],[2],[],0,0,0,0,0,2,0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
2,[],[],[],[],[],[2],[],0,0,0,0,0,2,0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
3,[],[],[],[],[],[2],[],0,0,0,0,0,2,0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
4,"[8, -3, 5, 7, 2, -8, 4]","[7, 5, -8, 4, 2, -3, 8]","[10, -1, 7, 9, 4, -6, 6]","[16, -6, 10, 14, 4, -16, 8]","[0.125, -0.3333333333333333, 0.2, 0.14285714285714285, 0.5, -0.125, 0.25]","[8, 2, -3, 5, 7, 2, -8, 4]","[-3, 5, 7, 2, -8, 4]",15,15,29,30,0.7595238095238095,17,7,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
5,"[9, 11, 8, 15, 9, -1, 8, -4]","[-4, 15, 8, -1, 9, 11, 8, 9]","[11, 13, 10, 17, 11, 1, 10, -2]","[18, 22, 16, 30, 18, -2, 16, -8]","[0.1111111111111111, 0.09090909090909091, 0.125, 0.06666666666666667, 0.1111111111111111, -1.0, 0.125, -0.25]","[9, 11, 8, 15, 9, 2, -1, 8, -4]","[9, 11, 8, 15, -1, 8, -4]",55,55,71,110,-0.6202020202020202,57,46,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
6,"[1, 10, 1, -5, -1, 8, 3, -3]","[1, 8, -5, -3, 1, 10, 3, -1]","[3, 12, 3, -3, 1, 10, 5, -1]","[2, 20, 2, -10, -2, 16, 6, -6]","[1.0, 0.1, 1.0, -0.2, -1.0, 0.125, 0.3333333333333333, -0.3333333333333333]","[1, 10, 1, -5, -1, 8, 2, 3, -3]","[1, 10, 1, -5, -1, 8, 3]",14,14,30,28,1.0250000000000001,16,17,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
7,"[11, 0, 3, -5, 12, -14, 16, 5, 6, 2, -1]","[12, 11, -5, 0, -14, 5, 2, -1, 6, 3, 16]","[13, 2, 5, -3, 14, -12, 18, 7, 8, 4, 1]","[22, 0, 6, -10, 24, -28, 32, 10, 12, 4, -2]","[0.09090909090909091, 'ZeroDivisionError', 0.3333333333333333, -0.2, 0.08333333333333333, -0.07142857142857142, 0.0625, 0.2, 0.16666666666666666, 0.5, -1.0]","[11, 0, 3, -5, 12, -14, 16, 5, 6, 2, 2, -1]","[11, 0, 3, -5, 12, -14, 16, 5, 2, -1]",35,35,57,70,error,37,29,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
8,"[-14, 2, 7, 6, -11, 7, 3, -6, -9, 7, -9, -1, -4]","[3, -11, -9, -1, -4, 7, -9, 7, -14, -6, 7, 2, 6]","[-12, 4, 9, 8, -9, 9, 5, -4, -7, 9, -7, 1, -2]","[-28, 4, 14, 12, -22, 14, 6, -12, -18, 14, -18, -2, -8]","[-0.07142857142857142, 0.5, 0.14285714285714285, 0.16666666666666666, -0.09090909090909091, 0.14285714285714285, 0.3333333333333333, -0.16666666666666666, -0.1111111111111111, 0.14285714285714285, -0.1111111111111111, -1.0, -0.25]","[-14, 2, 7, 2, 6, -11, 7, 3, -6, -9, 7, -9, -1, -4]","[-14, 2, 7, 6, -11, 7, 3, -6, -9, -9, -1, -4]",-22,-22,4,-44,-0.3726551226551229,-20,-29,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
9,"[12, -2, 4]","[-2, 12, 4]","[14, 0, 6]","[24, -4, 8]","[0.08333333333333333, -0.5, 0.25]","[2, 12, -2, 4]","[12, -2]",14,14,20,28,-0.16666666666666669,16,10,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
10,"[4, -1, 3, -18]","[3, 4, -1, -18]","[6, 1, 5, -16]","[8, -2, 6, -36]","[0.25, -1.0, 0.3333333333333333, -0.05555555555555555]","[4, -1, 3, 2, -18]","[-1, 3, -18]",-12,-12,-4,-24,-0.4722222222222222,-10,-16,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
11,"[10, -9]","[-9, 10]","[12, -7]","[20, -18]","[0.1, -0.1111111111111111]","[2, 10, -9]",[-9],1,1,5,2,-0.0111111111111111,3,-9,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
12,"[-2, -15, -8, -2, -1, 5, -14, -14, -3, 1]","[-1, 5, -3, -14, -14, 1, -8, -15, -2, -2]","[0, -13, -6, 0, 1, 7, -12, -12, -1, 3]","[-4, -30, -16, -4, -2, 10, -28, -28, -6, 2]","[-0.5, -0.06666666666666667, -0.125, -0.5, -1.0, 0.2, -0.07142857142857142, -0.07142857142857142, -0.3333333333333333, 1.0]","[-2, -15, -8, -2, -1, 5, -14, 2, -14, -3, 1]","[-2, -8, -2, -1, 5, -14, -14, -3, 1]",-53,-53,-33,-106,-1.467857142857143,-51,-38,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
