,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[-8, -28, -8, 3, -31, -20, 11, 0, -20, -11, -21, 4, -8, 4]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, -28, 11, -31, -8, -21, 2, -20, 0, -8, -8, 4, -20]","[3, -11, 4, -28, 11, -31, -8, -21, 0, -8, -8, 4, -20]",-9.5,-9.5,-7.5,-19.0,error,-8.733333333333333,-8.692307692307692,No-violate,Violate,error,No-violate,Violate,0,1,error,0,1
1,"[15, -20, -11, 9]","[15, 9, -11, -20]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[15, 2, -20, -11, 9]","[15, -20, 9]",-1.75,-1.75,0.25,-3.5,0.009217171717171714,-1.0,1.3333333333333333,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-1, -6, -12, -22, -23, 0, 14, -12, -12, 7, -15]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 2, 7]","[-12, 14, -22, -23, -6, 0, -15, -12, -1, 7]",-7.454545454545454,-7.454545454545454,-5.454545454545454,-14.909090909090908,error,-6.666666666666667,-7.0,No-violate,Violate,error,No-violate,Violate,0,1,error,0,1
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[7, 2, -25]",[-25],-9.0,-9.0,-7.0,-18.0,0.05142857142857142,-5.333333333333333,-25.0,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
4,"[-22, 6, 2, -6]","[2, -22, -6, 6]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[-22, 6, 2, 2, -6]","[-22, 6, 2]",-5.0,-5.0,-3.0,-10.0,0.11363636363636365,-3.6,-4.666666666666667,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],-18.0,-18.0,-16.0,-36.0,-0.05555555555555555,-8.0,,No-violate,Violate,Violate,No-violate,error,0,1,1,0,error
6,"[4, 7, -10, 22, -19]","[7, 22, -19, 4, -10]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 2, 7, -10, 22, -19]","[7, -10, 22, -19]",0.8,0.8,2.8,1.6,0.05713602187286397,1.0,0.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[-2, 4, -15, -10, 19, -25, 14, -3, 13]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, -2, 2, 13, -15, -3, -10, 19, 14, -25]","[4, -2, -15, -3, -10, 19, 14, -25]",-0.5555555555555556,-0.5555555555555556,1.4444444444444444,-1.1111111111111112,-0.06544630807788702,-0.3,-2.25,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[-7, 10, -19, 5, -20, -30, -19, 10]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[10, -19, 2, 10, -7, -30, 5, -19, -20]","[-19, 10, -7, -30, 5, -19, -20]",-8.75,-8.75,-6.75,-17.5,0.008568295739348376,-7.555555555555555,-11.428571428571429,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
9,"[4, -16, -7, -14]","[-14, 4, -16, -7]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[4, -16, 2, -7, -14]","[4, -16, -14]",-8.25,-8.25,-6.25,-16.5,-0.0066964285714285685,-6.2,-8.666666666666666,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
