,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[-11, 0, 4, 3, 11, -8, -20, -21, 4, -31, -8, -20, -8, -28]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 2, 4, -20]","[3, -11, 4, -28, 11, -31, -8, -21, 0, -8, -8, 4, -20]",1.9107194452470384,1.0907252239237215,2.2154103852596316,1.9107194452470384,error,1.896969696969697,2.1734727213328977,No-violate,No-violate,error,Violate,Violate,0,0,error,1,1
1,"[15, -20, -11, 9]","[9, 15, -20, -11]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[2, 15, -20, -11, 9]","[-20, -11, 9]",2.0628778718258767,1.62273276904474,2.093251533742331,2.0628778718258767,2.0358435547327005,2.256317689530686,0.7990033222591362,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-12, -23, -15, -22, 7, -12, 0, 14, -12, -6, -1]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-12, 14, -22, 2, -23, -6, -12, 0, -15, -12, -1, 7]","[-12, 14, -22, -23, -6, -12, 0, -12, -1, 7]",1.4656762295081966,1.2873975409836065,1.7152278177458034,1.4656762295081966,error,2.076175869120654,1.6045165026056747,No-violate,No-violate,error,No-violate,Violate,0,0,error,0,1
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[7, -25, 2]",[7],1.5192878338278932,1.5192878338278932,1.678688524590164,1.5192878338278932,1.519287833827893,2.5855457227138645,0.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
4,"[-22, 6, 2, -6]","[-6, -22, 2, 6]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[-22, 2, 6, 2, -6]","[6, 2, -6]",1.542857142857143,1.5142857142857142,1.7419354838709677,1.542857142857143,1.952238805970149,1.1914893617021276,1.0526315789473684,No-violate,No-violate,Violate,Violate,No-violate,0,0,1,1,0
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],0.0,0.0,0.0,0.0,0.0,1.2195121951219512,error,No-violate,No-violate,No-violate,No-violate,error,0,0,0,0,error
6,"[4, 7, -10, 22, -19]","[-19, 4, 22, -10, 7]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 7, -10, 2, 22, -19]","[4, 7, 22, -19]",2.9732673267326732,2.1445544554455447,2.8709369024856595,2.9732673267326732,1.0357333571245337,2.4881656804733727,2.1043956043956045,Violate,No-violate,No-violate,Violate,No-violate,1,0,0,1,0
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[19, 14, -15, 4, 13, -2, -3, -25, -10]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, 2, -2, 13, -15, -3, -10, 19, 14, -25]","[-2, 13, -15, -3, -10, 19, 14, -25]",2.126099706744868,1.3155425219941348,2.1063335270191748,2.126099706744868,2.3764298671181514,2.111761263897016,2.1249259917110717,Violate,No-violate,Violate,Violate,No-violate,1,0,1,1,0
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[-20, -30, 10, 5, -19, 10, -7, -19]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[10, -19, 10, -7, -30, 5, -19, -20, 2]","[10, 10, -7, -30, 5, -19, -20]",1.8736933797909407,1.5570557491289199,2.1005859375,1.8736933797909407,2.633356542603154,2.0808695652173914,1.3540051679586564,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
9,"[4, -16, -7, -14]","[-16, -14, -7, 4]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[4, 2, -16, -7, -14]","[4, -7, -14]",1.0251450676982592,0.3365570599613153,1.3216957605985038,1.0251450676982592,1.1882046834345188,0.8790786948176583,0.6513409961685823,No-violate,No-violate,Violate,Violate,No-violate,0,0,1,1,0
