,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[-28, -20, 0, -20, -11, -8, 11, 4, -8, 3, -8, -21, 4, -31]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, -28, 2, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[3, -11, 4, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]",58.83026432033091,58.83026432033091,54.63515351859094,117.66052864066182,error,58.86425061104575,51.73973328110612,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1,"[15, -20, -11, 9]","[-11, -20, 9, 15]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[15, -20, 2, -11, 9]","[-20, -11, 9]",28.75760768909681,28.75760768909681,28.548204847240395,57.51521537819362,0.1659957417125737,28.827070610799147,24.535688292770594,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-6, -12, 0, -1, -12, -15, 14, 7, -23, -12, -22]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-12, 14, -22, 2, -23, -6, -12, 0, -15, -12, -1, 7]","[-12, 14, -22, -6, -12, 0, -15, -12, -1, 7]",44.181444068749045,44.181444068749045,40.84115571332428,88.36288813749809,error,44.22668877499196,37.72267222772003,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[7, -25, 2]",[-25],25.96150997149434,25.96150997149434,24.698178070456937,51.92301994298868,0.1483514855513962,26.038433132583073,25.0,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
4,"[-22, 6, 2, -6]","[6, -22, 2, -6]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[-22, 2, 6, 2, -6]","[-22, 6, 2]",23.664319132398465,23.664319132398465,22.271057451320086,47.32863826479693,0.5546365217491857,23.748684174075834,22.891046284519195,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],18.0,18.0,16.0,36.0,0.05555555555555555,18.110770276274835,error,Violate,No-violate,No-violate,No-violate,error,1,0,0,0,error
6,"[4, 7, -10, 22, -19]","[-19, -10, 4, 7, 22]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 7, -10, 2, 22, -19]","[7, -10, 22, -19]",31.78049716414141,31.78049716414141,32.341923257592455,63.56099432828282,0.3126409475265173,31.843366656181317,31.52776554086889,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[13, 4, 14, 19, -3, -10, -25, -15, -2]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, -2, 13, -15, 2, -3, -10, 19, 14, -25]","[4, -2, 13, -15, -3, -10, 14, -25]",41.291645644125154,41.291645644125154,41.48493702538308,82.58329128825031,0.6733831296057904,41.340053217188775,36.66060555964672,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[10, 5, -30, -7, -20, -19, 10, -19]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[10, -19, 10, 2, -7, -30, 5, -19, -20]","[10, -19, -7, -30, 5, -19, -20]",47.916594202843754,47.916594202843754,45.254833995939045,95.83318840568751,0.29926483351941535,47.958315233127195,46.861498055439924,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
9,"[4, -16, -7, -14]","[-7, 4, -16, -14]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[2, 4, -16, -7, -14]","[4, -16, -7]",22.737634001804146,22.737634001804146,20.024984394500787,45.47526800360829,0.3031772651133865,22.825424421026653,17.916472867168917,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
10,"[-27, -3]","[-3, -27]","[-25, -1]","[-54, -6]","[-0.037037037037037035, -0.3333333333333333]","[-27, 2, -3]",[-27],27.16615541441225,27.16615541441225,25.019992006393608,54.3323108288245,0.33538463474583025,27.23967694375247,27.0,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
11,"[0, 10, -2, 0]","[-2, 0, 10, 0]","[2, 12, 0, 2]","[0, 20, -4, 0]","['ZeroDivisionError', 0.1, -0.5, 'ZeroDivisionError']","[0, 2, 10, -2, 0]","[10, -2, 0]",10.198039027185569,10.198039027185569,12.328828005937952,20.396078054371138,error,10.392304845413264,10.198039027185569,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
12,"[-17, 23, 7, -15, 11, -23, -24, -2, -25]","[-2, -17, -24, 23, -23, -15, 11, 7, -25]","[-15, 25, 9, -13, 13, -21, -22, 0, -23]","[-34, 46, 14, -30, 22, -46, -48, -4, -50]","[-0.058823529411764705, 0.043478260869565216, 0.14285714285714285, -0.06666666666666667, 0.09090909090909091, -0.043478260869565216, -0.041666666666666664, -0.5, -0.04]","[-17, 23, 7, -15, 2, 11, -23, -24, -2, -25]","[-17, 23, 7, -15, -23, -24, -2, -25]",54.286278192559855,54.286278192559855,52.182372502598994,108.57255638511971,0.5419355197620098,54.323107422164284,53.16013544000805,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
13,"[-5, -20, -6, -3, -5, -11, -25]","[-5, -6, -3, -25, -20, -5, -11]","[-3, -18, -4, -1, -3, -9, -23]","[-10, -40, -12, -6, -10, -22, -50]","[-0.2, -0.05, -0.16666666666666666, -0.3333333333333333, -0.2, -0.09090909090909091, -0.04]","[-5, -20, -6, -3, -5, 2, -11, -25]","[-5, -20, -6, -3, -5, -25]",35.22782990761707,35.22782990761707,31.12876483254676,70.45565981523414,0.4808880864596317,35.2845575287547,33.46640106136302,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
14,"[-24, -11, 8, -18, 12, -18, -19, 10, 3, 8, 6, -3, -6]","[-3, -19, -18, -24, 8, 8, 12, -6, 3, -18, 10, 6, -11]","[-22, -9, 10, -16, 14, -16, -17, 12, 5, 10, 8, -1, -4]","[-48, -22, 16, -36, 24, -36, -38, 20, 6, 16, 12, -6, -12]","[-0.041666666666666664, -0.09090909090909091, 0.125, -0.05555555555555555, 0.08333333333333333, -0.05555555555555555, -0.05263157894736842, 0.1, 0.3333333333333333, 0.125, 0.16666666666666666, -0.3333333333333333, -0.16666666666666666]","[-24, -11, 8, -18, 12, -18, -19, 10, 3, 8, 2, 6, -3, -6]","[-24, -11, 8, -18, -18, -19, 10, 3, 8, 6, -3, -6]",46.561786907291264,46.561786907291264,44.85532298401161,93.12357381458253,0.5872952568784432,46.604720790924176,44.98888751680797,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
15,[],[],[],[],[],[2],[],error,error,error,error,error,2.0,error,error,error,error,error,error,error,error,error,error,error
16,"[-27, -2, -18, -1, -7, 17, 5, -25]","[-27, -2, 17, -25, -7, -18, -1, 5]","[-25, 0, -16, 1, -5, 19, 7, -23]","[-54, -4, -36, -2, -14, 34, 10, -50]","[-0.037037037037037035, -0.5, -0.05555555555555555, -1.0, -0.14285714285714285, 0.058823529411764705, 0.2, -0.04]","[-27, -2, -18, -1, 2, -7, 17, 5, -25]","[-27, -2, -18, -1, 17, 5, -25]",45.232731511594565,45.232731511594565,42.96510211788167,90.46546302318913,1.1488805563431441,45.27692569068709,44.68780594300866,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
17,"[-13, 21, 18, -20, -29, -2, 2, -11, -16]","[2, 18, 21, -2, -20, -16, -13, -29, -11]","[-11, 23, 20, -18, -27, 0, 4, -9, -14]","[-26, 42, 36, -40, -58, -4, 4, -22, -32]","[-0.07692307692307693, 0.047619047619047616, 0.05555555555555555, -0.05, -0.034482758620689655, -0.5, 0.5, -0.09090909090909091, -0.0625]","[-13, 21, 2, 18, -20, -29, -2, 2, -11, -16]","[-13, 21, -20, -29, -2, 2, -11, -16]",50.59644256269407,50.59644256269407,48.948953002081666,101.19288512538814,0.7260378272959028,50.635955604688654,47.286361670147556,Violate,No-violate,No-violate,No-violate,No-violate,1,0,0,0,0
