,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[-31, -28, -21, -20, -20, -11, -8, -8, -8, 0, 3, 4, 4, 11]","[-31, -28, -21, -20, -20, -11, -8, -8, -8, 0, 3, 4, 4, 11]","[-29, -26, -19, -18, -18, -9, -6, -6, -6, 2, 5, 6, 6, 13]","[-62, -56, -42, -40, -40, -22, -16, -16, -16, 0, 6, 8, 8, 22]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[-31, -28, -21, -20, -20, -11, -8, -8, -8, 0, 2, 3, 4, 4, 11]","[-31, -28, -21, -20, -20, -11, -8, -8, -8, 0, 3, 4, 11]",-8.0,-8.0,-6.0,-16.0,error,-8.0,-8,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
1,"[-20, -11, 9, 15]","[-20, -11, 9, 15]","[-18, -9, 11, 17]","[-40, -22, 18, 30]","[-0.09090909090909091, -0.05, 0.06666666666666667, 0.1111111111111111]","[-20, -11, 2, 9, 15]","[-20, -11, 15]",-1.0,-1.0,1.0,-2.0,0.008333333333333331,2.0,-11,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
2,"[-23, -22, -15, -12, -12, -12, -6, -1, 0, 7, 14]","[-23, -22, -15, -12, -12, -12, -6, -1, 0, 7, 14]","[-21, -20, -13, -10, -10, -10, -4, 1, 2, 9, 16]","[-46, -44, -30, -24, -24, -24, -12, -2, 0, 14, 28]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-23, -22, -15, -12, -12, -12, -6, -1, 0, 2, 7, 14]","[-23, -22, -15, -12, -12, -12, -6, -1, 7, 14]",-12,-12,-10,-24,error,-9.0,-12.0,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
3,"[-25, 7]","[-25, 7]","[-23, 9]","[-50, 14]","[-0.04, 0.14285714285714285]","[-25, 2, 7]",[-25],-9.0,-9.0,-7.0,-18.0,0.05142857142857142,2.0,-25,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
4,"[-22, -6, 2, 6]","[-22, -6, 2, 6]","[-20, -4, 4, 8]","[-44, -12, 4, 12]","[-0.16666666666666666, -0.045454545454545456, 0.16666666666666666, 0.5]","[-22, -6, 2, 2, 6]","[-6, 2, 6]",-2.0,-2.0,0.0,-4.0,0.0606060606060606,2.0,2,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],-18,-18,-16,-36,-0.05555555555555555,-8.0,error,No-violate,Violate,Violate,No-violate,error,0,1,1,0,error
6,"[-19, -10, 4, 7, 22]","[-19, -10, 4, 7, 22]","[-17, -8, 6, 9, 24]","[-38, -20, 8, 14, 44]","[-0.1, -0.05263157894736842, 0.045454545454545456, 0.14285714285714285, 0.25]","[-19, -10, 2, 4, 7, 22]","[-10, 4, 7, 22]",4,4,6,8,0.045454545454545456,3.0,5.5,No-violate,No-violate,No-violate,Violate,Violate,0,0,0,1,1
7,"[-25, -15, -10, -3, -2, 4, 13, 14, 19]","[-25, -15, -10, -3, -2, 4, 13, 14, 19]","[-23, -13, -8, -1, 0, 6, 15, 16, 21]","[-50, -30, -20, -6, -4, 8, 26, 28, 38]","[-0.5, -0.3333333333333333, -0.1, -0.06666666666666667, -0.04, 0.05263157894736842, 0.07142857142857142, 0.07692307692307693, 0.25]","[-25, -15, -10, -3, -2, 2, 4, 13, 14, 19]","[-25, -15, -10, -3, -2, 4, 13, 19]",-2,-2,0,-4,-0.04,0.0,-2.5,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
8,"[-30, -20, -19, -19, -7, 5, 10, 10]","[-30, -20, -19, -19, -7, 5, 10, 10]","[-28, -18, -17, -17, -5, 7, 12, 12]","[-60, -40, -38, -38, -14, 10, 20, 20]","[-0.14285714285714285, -0.05263157894736842, -0.05263157894736842, -0.05, -0.03333333333333333, 0.1, 0.1, 0.2]","[-30, -20, -19, -19, -7, 2, 5, 10, 10]","[-30, -20, -19, -7, 5, 10, 10]",-13.0,-13.0,-11.0,-26.0,-0.04166666666666667,-7.0,-7,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
9,"[-16, -14, -7, 4]","[-16, -14, -7, 4]","[-14, -12, -5, 6]","[-32, -28, -14, 8]","[-0.14285714285714285, -0.07142857142857142, -0.0625, 0.25]","[-16, -14, -7, 2, 4]","[-16, -14, 4]",-10.5,-10.5,-8.5,-21.0,-0.06696428571428571,-7.0,-14,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
10,"[-27, -3]","[-27, -3]","[-25, -1]","[-54, -6]","[-0.3333333333333333, -0.037037037037037035]","[-27, -3, 2]",[-3],-15.0,-15.0,-13.0,-30.0,-0.18518518518518517,-3.0,-3,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
11,"[-2, 0, 0, 10]","[-2, 0, 0, 10]","[0, 2, 2, 12]","[-4, 0, 0, 20]","['ZeroDivisionError', 0.1, -0.5, 'ZeroDivisionError']","[-2, 0, 0, 2, 10]","[-2, 0, 10]",0.0,0.0,2.0,0.0,error,0.0,0,No-violate,No-violate,error,No-violate,No-violate,0,0,error,0,0
12,"[-25, -24, -23, -17, -15, -2, 7, 11, 23]","[-25, -24, -23, -17, -15, -2, 7, 11, 23]","[-23, -22, -21, -15, -13, 0, 9, 13, 25]","[-50, -48, -46, -34, -30, -4, 14, 22, 46]","[-0.5, -0.06666666666666667, -0.058823529411764705, -0.043478260869565216, -0.041666666666666664, -0.04, 0.043478260869565216, 0.09090909090909091, 0.14285714285714285]","[-25, -24, -23, -17, -15, -2, 2, 7, 11, 23]","[-25, -24, -23, -17, -15, 7, 11, 23]",-15,-15,-13,-30,-0.041666666666666664,-8.5,-16.0,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
