,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[-21, 3, 0, 11, -8, -8, 4, -20, -31, -28, 4, -8, -11, -20]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, 2, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[3, -11, 4, -28, 11, -8, -21, -20, 0, -8, -8, 4, -20]",-31,-31,-29,-62,error,-31,-28,No-violate,Violate,error,No-violate,Violate,0,1,error,0,1
1,"[15, -20, -11, 9]","[-11, 15, -20, 9]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[15, 2, -20, -11, 9]","[15, -11, 9]",-20,-20,-18,-40,-0.09090909090909091,-20,-11,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-6, 14, -1, -23, -12, -15, -12, -12, 0, 7, -22]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-12, 14, -22, 2, -23, -6, -12, 0, -15, -12, -1, 7]","[-12, 14, -22, -23, -6, -12, 0, -12, -1, 7]",-23,-23,-21,-46,error,-23,-23,No-violate,Violate,error,No-violate,No-violate,0,1,error,0,0
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[7, -25, 2]",[-25],-25,-25,-23,-50,-0.04,-25,-25,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
4,"[-22, 6, 2, -6]","[6, -6, 2, -22]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[2, -22, 6, 2, -6]","[6, 2, -6]",-22,-22,-20,-44,-0.16666666666666666,-22,-6,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],-18,-18,-16,-36,-0.05555555555555555,-18,error,No-violate,Violate,Violate,No-violate,error,0,1,1,0,error
6,"[4, 7, -10, 22, -19]","[22, -19, -10, 7, 4]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 7, -10, 22, 2, -19]","[4, 7, -10, 22]",-19,-19,-17,-38,-0.1,-19,-10,No-violate,Violate,Violate,No-violate,Violate,0,1,1,0,1
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[13, -25, -3, -15, -2, -10, 19, 4, 14]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, -2, 13, -15, -3, -10, 19, 2, 14, -25]","[4, -2, -15, -3, -10, 19, 14, -25]",-25,-25,-23,-50,-0.5,-25,-25,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[-30, -19, 5, -7, -20, 10, -19, 10]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[10, -19, 10, -7, -30, 5, -19, 2, -20]","[10, -19, 10, -7, -30, 5, -20]",-30,-30,-28,-60,-0.14285714285714285,-30,-30,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
9,"[4, -16, -7, -14]","[-7, -14, -16, 4]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[2, 4, -16, -7, -14]","[4, -16, -7]",-16,-16,-14,-32,-0.14285714285714285,-16,-16,No-violate,Violate,Violate,No-violate,No-violate,0,1,1,0,0
