,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[-28, -8, 11, -31, 4, -8, -11, -20, 3, -21, 4, -20, -8, 0]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[2, 3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, 4, -20]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
1,"[15, -20, -11, 9]","[-20, -11, 15, 9]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[15, -20, -11, 9, 2]","[15, -11, 9]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-12, -6, 14, 7, 0, -12, -22, -23, -12, -1, -15]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-12, 14, -22, -23, -6, -12, 0, -15, -12, 2, -1, 7]","[-12, -22, -23, -6, -12, 0, -15, -12, -1, 7]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[7, 2, -25]",[-25],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
4,"[-22, 6, 2, -6]","[6, 2, -6, -22]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[-22, 6, 2, 2, -6]","[-22, 6, 2]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
6,"[4, 7, -10, 22, -19]","[-19, 22, 4, -10, 7]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 7, -10, 22, -19, 2]","[4, 7, -10, -19]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[19, -25, -10, -2, 4, -15, 13, 14, -3]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, -2, 13, -15, -3, -10, 19, 14, 2, -25]","[-2, 13, -15, -3, -10, 19, 14, -25]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[10, 5, -7, 10, -30, -19, -19, -20]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[2, 10, -19, 10, -7, -30, 5, -19, -20]","[-19, 10, -7, -30, 5, -19, -20]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
9,"[4, -16, -7, -14]","[-16, -14, 4, -7]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[4, -16, -7, -14, 2]","[-16, -7, -14]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
10,"[-27, -3]","[-3, -27]","[-25, -1]","[-54, -6]","[-0.037037037037037035, -0.3333333333333333]","[2, -27, -3]",[-3],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
11,"[0, 10, -2, 0]","[0, -2, 10, 0]","[2, 12, 0, 2]","[0, 20, -4, 0]","['ZeroDivisionError', 0.1, -0.5, 'ZeroDivisionError']","[0, 10, -2, 0, 2]","[0, -2, 0]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
12,"[-17, 23, 7, -15, 11, -23, -24, -2, -25]","[-24, -17, -23, 11, -25, 7, -2, -15, 23]","[-15, 25, 9, -13, 13, -21, -22, 0, -23]","[-34, 46, 14, -30, 22, -46, -48, -4, -50]","[-0.058823529411764705, 0.043478260869565216, 0.14285714285714285, -0.06666666666666667, 0.09090909090909091, -0.043478260869565216, -0.041666666666666664, -0.5, -0.04]","[-17, 23, 7, -15, 11, -23, -24, -2, -25, 2]","[-17, 23, 7, -15, 11, -23, -2, -25]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
13,"[-5, -20, -6, -3, -5, -11, -25]","[-20, -3, -5, -6, -5, -25, -11]","[-3, -18, -4, -1, -3, -9, -23]","[-10, -40, -12, -6, -10, -22, -50]","[-0.2, -0.05, -0.16666666666666666, -0.3333333333333333, -0.2, -0.09090909090909091, -0.04]","[-5, -20, -6, 2, -3, -5, -11, -25]","[-5, -20, -6, -3, -11, -25]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
14,"[-24, -11, 8, -18, 12, -18, -19, 10, 3, 8, 6, -3, -6]","[-11, 8, -3, -6, -18, 12, -19, -24, 3, 6, 8, 10, -18]","[-22, -9, 10, -16, 14, -16, -17, 12, 5, 10, 8, -1, -4]","[-48, -22, 16, -36, 24, -36, -38, 20, 6, 16, 12, -6, -12]","[-0.041666666666666664, -0.09090909090909091, 0.125, -0.05555555555555555, 0.08333333333333333, -0.05555555555555555, -0.05263157894736842, 0.1, 0.3333333333333333, 0.125, 0.16666666666666666, -0.3333333333333333, -0.16666666666666666]","[-24, -11, 8, -18, 12, -18, -19, 10, 3, 8, 2, 6, -3, -6]","[-24, -11, 8, -18, -18, -19, 10, 3, 8, 6, -3, -6]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
15,[],[],[],[],[],[2],[],error,error,error,error,error,2.0,error,error,error,error,error,error,error,error,error,error,error
16,"[-27, -2, -18, -1, -7, 17, 5, -25]","[-18, -27, 5, -25, -2, -7, -1, 17]","[-25, 0, -16, 1, -5, 19, 7, -23]","[-54, -4, -36, -2, -14, 34, 10, -50]","[-0.037037037037037035, -0.5, -0.05555555555555555, -1.0, -0.14285714285714285, 0.058823529411764705, 0.2, -0.04]","[-27, -2, -18, -1, -7, 17, 5, 2, -25]","[-2, -18, -1, -7, 17, 5, -25]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
17,"[-13, 21, 18, -20, -29, -2, 2, -11, -16]","[-11, -2, -20, -29, 2, -13, 21, 18, -16]","[-11, 23, 20, -18, -27, 0, 4, -9, -14]","[-26, 42, 36, -40, -58, -4, 4, -22, -32]","[-0.07692307692307693, 0.047619047619047616, 0.05555555555555555, -0.05, -0.034482758620689655, -0.5, 0.5, -0.09090909090909091, -0.0625]","[-13, 21, 18, -20, -29, -2, 2, -11, -16, 2]","[-13, 21, 18, -20, -2, 2, -11, -16]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
18,"[15, -28, 21, -27, -3, -6, -27]","[-27, 21, 15, -27, -3, -6, -28]","[17, -26, 23, -25, -1, -4, -25]","[30, -56, 42, -54, -6, -12, -54]","[0.06666666666666667, -0.03571428571428571, 0.047619047619047616, -0.037037037037037035, -0.3333333333333333, -0.16666666666666666, -0.037037037037037035]","[15, -28, 21, -27, -3, -6, -27, 2]","[15, -28, -27, -3, -6, -27]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
19,"[-4, -25, 24, 14, 23, -16, -21, -24, -16, -25, -9, 14]","[-25, 24, -9, -21, -16, -4, 14, -25, 14, -16, -24, 23]","[-2, -23, 26, 16, 25, -14, -19, -22, -14, -23, -7, 16]","[-8, -50, 48, 28, 46, -32, -42, -48, -32, -50, -18, 28]","[-0.25, -0.04, 0.041666666666666664, 0.07142857142857142, 0.043478260869565216, -0.0625, -0.047619047619047616, -0.041666666666666664, -0.0625, -0.04, -0.1111111111111111, 0.07142857142857142]","[-4, -25, 24, 14, 23, -16, -21, -24, -16, -25, 2, -9, 14]","[-4, -25, 24, 14, 23, -16, -21, -24, -25, -9, 14]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
20,"[-9, -3, 0, 17, -10, 9]","[-9, 0, 17, -10, -3, 9]","[-7, -1, 2, 19, -8, 11]","[-18, -6, 0, 34, -20, 18]","[-0.1111111111111111, -0.3333333333333333, 'ZeroDivisionError', 0.058823529411764705, -0.1, 0.1111111111111111]","[-9, -3, 0, 2, 17, -10, 9]","[-9, -3, 0, 17, 9]",error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
