,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[-20, -28, -8, -8, 4, 0, -21, 11, -8, -11, -20, 4, 3, -31]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, -28, 11, 2, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[-11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]",-1.1206861660201834,-1.1206861660201834,-1.1206861660201834,-1.1206861660201834,error,-1.1043259135800048,-1.064229690170087,No-violate,No-violate,error,No-violate,Violate,0,0,error,0,1
1,"[15, -20, -11, 9]","[-11, -20, 15, 9]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[15, 2, -20, -11, 9]","[15, -20, -11]",-1.7326543315129597,-1.7326543315129597,-1.7326543315129597,-1.7326543315129597,-1.7497926181149435,-1.4175172510831398,error,No-violate,No-violate,No-violate,No-violate,error,0,0,0,0,error
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-12, -12, -15, -23, 0, -1, -6, -12, -22, 7, 14]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-12, 14, -22, -23, 2, -6, -12, 0, -15, -12, -1, 7]","[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1]",-0.7478034009052088,-0.7478034009052106,-0.7478034009052088,-0.7478034009052088,error,-0.8676342063911009,-0.11625313859592845,No-violate,No-violate,error,Violate,Violate,0,0,error,1,1
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[7, -25, 2]",[-25],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
4,"[-22, 6, 2, -6]","[6, -22, 2, -6]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[2, -22, 6, 2, -6]","[6, 2, -6]",-1.098979206049149,-1.098979206049149,-1.098979206049149,-1.098979206049149,-1.223120513181443,-0.4896449704142025,error,No-violate,No-violate,No-violate,No-violate,error,0,0,0,0,error
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
6,"[4, 7, -10, 22, -19]","[4, 22, -10, -19, 7]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 2, 7, -10, 22, -19]","[4, 7, 22, -19]",-1.1705695667553597,-1.1705695667553608,-1.1705695667553597,-1.1705695667553597,-1.3464421371270732,-0.8121456916099774,-0.9842780657771732,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,1
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[-15, 19, 14, 13, -25, 4, -10, -2, -3]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, -2, 13, 2, -15, -3, -10, 19, 14, -25]","[4, -2, 13, -15, -3, -10, 19, -25]",-1.0310738876125687,-1.0310738876125687,-1.0310738876125687,-1.0310738876125687,-0.29856865542576516,-0.8062695835027545,-0.9202340157500917,No-violate,No-violate,Violate,No-violate,Violate,0,0,1,0,1
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[-20, -7, 10, -19, 5, 10, -19, -30]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[10, -19, 10, 2, -7, -30, 5, -19, -20]","[10, -19, 10, -7, -30, 5, -20]",-1.5182286468297752,-1.5182286468297752,-1.5182286468297752,-1.5182286468297752,-0.9268590549978466,-1.4902570435368554,-1.5323175360046681,No-violate,No-violate,Violate,No-violate,No-violate,0,0,1,0,0
9,"[4, -16, -7, -14]","[4, -16, -14, -7]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[4, -16, -7, -14, 2]","[4, -16, -7]",-1.1822595235387465,-1.1822595235387465,-1.1822595235387465,-1.1822595235387465,-0.7599599369612693,-1.6924760686948344,error,No-violate,No-violate,Violate,Violate,error,0,0,1,1,error
