,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[4, -21, 11, -8, -20, -31, -11, 3, -8, -8, 4, -28, 0, -20]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, -28, 11, -31, -8, -21, 2, -20, 0, -8, -8, 4, -20]","[-11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]",0,0,-42229123822080,0,error,0,0,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
1,"[15, -20, -11, 9]","[-20, 15, 9, -11]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[15, 2, -20, -11, 9]","[-20, -11, 9]",29700,29700,30294,475200,3.3670033670033675e-05,59400,1980,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-23, -12, -12, 14, 0, -12, -22, -6, -1, 7, -15]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-12, 14, -22, -23, -6, -12, 0, -15, -12, 2, -1, 7]","[-12, 14, -22, -6, -12, 0, -15, -12, -1, 7]",0,0,-6289920000,0,error,0,0,Violate,No-violate,error,No-violate,No-violate,1,0,error,0,0
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[2, 7, -25]",[7],-175,-175,-207,-700,-0.005714285714285714,-350,7,Violate,Violate,Violate,Violate,Violate,1,1,1,1,1
4,"[-22, 6, 2, -6]","[6, -22, 2, -6]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[-22, 6, 2, 2, -6]","[-22, 6, -6]",1584,1584,2560,25344,0.0006313131313131313,3168,792,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[2, -18]",[],-18,-18,-16,-36,-0.05555555555555555,-36,error,No-violate,Violate,Violate,Violate,error,0,1,1,1,error
6,"[4, 7, -10, 22, -19]","[22, 4, -19, 7, -10]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 2, 7, -10, 22, -19]","[4, 7, -10, -19]",117040,117040,176256,3745280,8.544087491455912e-06,234080,5320,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[4, 19, 13, -15, -2, -10, -3, 14, -25]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, -2, 13, -15, 2, -3, -10, 19, 14, -25]","[4, -2, 13, -15, -3, -10, 19, -25]",-311220000,-311220000,0,-159344640000,-3.2131611078979495e-09,-622440000,-22230000,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[5, -7, -19, 10, -30, 10, -20, -19]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[10, -19, 2, 10, -7, -30, 5, -19, -20]","[10, -19, 10, -7, -30, -19, -20]",-758100000,-758100000,-734106240,-194073600000,-1.319087191663369e-09,-1516200000,-151620000,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
9,"[4, -16, -7, -14]","[-7, -14, -16, 4]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[4, -16, -7, 2, -14]","[-16, -7, -14]",-6272,-6272,-5040,-100352,-0.00015943877551020407,-12544,-1568,No-violate,Violate,Violate,Violate,Violate,0,1,1,1,1
