,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[-8, -20, -31, 3, -8, -28, -11, -21, -8, 0, 11, 4, 4, -20]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, 2, -20]","[3, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]",169.03846153846155,169.03846153846155,169.03846153846155,676.1538461538462,error,165.7809523809524,182.9230769230769,No-violate,No-violate,error,Violate,Violate,0,0,error,1,1
1,"[15, -20, -11, 9]","[-11, -20, 9, 15]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[15, -20, 2, -11, 9]","[15, -11, 9]",271.5833333333333,271.5833333333333,271.5833333333333,1086.3333333333333,0.00907158708295072,206.5,185.33333333333334,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[14, -23, -22, -12, -6, -12, -15, 0, -12, -1, 7]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[2, -12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[14, -22, -23, -6, -12, 0, -15, -12, -1, 7]",134.07272727272726,134.07272727272726,134.07272727272726,536.290909090909,error,129.3333333333333,146.44444444444446,No-violate,No-violate,error,Violate,Violate,0,0,error,1,1
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[2, 7, -25]",[-25],512.0,512.0,512.0,2048.0,0.016718367346938774,296.33333333333337,error,No-violate,No-violate,No-violate,Violate,error,0,0,0,1,error
4,"[-22, 6, 2, -6]","[-6, 6, 2, -22]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[2, -22, 6, 2, -6]","[-22, 2, -6]",153.33333333333334,153.33333333333334,153.33333333333334,613.3333333333334,0.08532292623201713,124.79999999999998,149.33333333333331,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[2, -18]",[],error,error,error,error,error,200.0,error,error,error,error,error,error,error,error,error,error,error
6,"[4, 7, -10, 22, -19]","[7, -10, 22, 4, -19]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 7, -10, 22, 2, -19]","[7, -10, 22, -19]",251.7,251.7,251.7,1006.8,0.020355434273249137,201.6,331.3333333333333,No-violate,No-violate,No-violate,Violate,Violate,0,0,0,1,1
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[14, 19, -3, 4, -15, -10, -25, -2, 13]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[2, 4, -2, 13, -15, -3, -10, 19, 14, -25]","[-2, 13, -15, -3, -10, 19, 14, -25]",212.77777777777777,212.7777777777778,212.77777777777777,851.1111111111111,0.051861983258557176,189.7888888888889,239.83928571428572,No-violate,No-violate,No-violate,Violate,Violate,0,0,0,1,1
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[5, -19, 10, -20, -7, 10, -30, -19]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[10, -19, 10, 2, -7, -30, 5, -19, -20]","[-19, 10, -7, -30, 5, -19, -20]",240.5,240.5,240.5,962.0,0.012710302149483987,223.2777777777778,213.6190476190476,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
9,"[4, -16, -7, -14]","[4, -14, -16, -7]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[4, -16, 2, -7, -14]","[-16, -7, -14]",81.58333333333333,81.58333333333333,81.58333333333333,326.3333333333333,0.030579028486394558,82.19999999999999,22.333333333333332,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
