,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[0, -20, 4, 11, -8, -28, -11, 3, -31, 4, -8, -21, -20, -8]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, -28, 11, -31, 2, -8, -21, -20, 0, -8, -8, 4, -20]","[3, -11, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]",-0.13631676046250518,-0.13631676046250518,-0.13631676046250518,-0.13631676046250518,error,-0.26245249219385813,0.0014412887495637878,No-violate,No-violate,error,Violate,Violate,0,0,error,1,1
1,"[15, -20, -11, 9]","[15, 9, -20, -11]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[15, 2, -20, -11, 9]","[15, -20, 9]",-0.07981782935143888,-0.07981782935143888,-0.07981782935143888,-0.07981782935143888,0.016064714194702387,-0.2577098536060547,-0.6262425886386607,No-violate,No-violate,Violate,Violate,No-violate,0,0,1,1,0
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-6, -12, -1, 0, 7, -22, -12, 14, -12, -15, -23]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7, 2]","[-12, 14, -22, -6, -12, 0, -15, -12, -1, 7]",0.40780853824329844,0.40780853824329844,0.40780853824329844,0.40780853824329844,error,0.2267776770847446,0.42555635141219933,No-violate,No-violate,error,Violate,Violate,0,0,error,1,1
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[7, -25, 2]",[7],error,error,error,error,error,-0.6405879745163578,error,error,error,error,error,error,error,error,error,error,error
4,"[-22, 6, 2, -6]","[-22, -6, 6, 2]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[-22, 6, 2, 2, -6]","[-22, 6, 2]",-0.6568077344996993,-0.6568077344996993,-0.6568077344996993,-0.6568077344996993,0.49071151167095156,-1.003880348854969,-0.6520121170440459,No-violate,No-violate,Violate,Violate,Violate,0,0,1,1,1
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[2, -18]",[],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
6,"[4, 7, -10, 22, -19]","[22, 7, -19, 4, -10]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 7, 2, -10, 22, -19]","[4, 7, 22, -19]",0.054394911936297814,0.054394911936297745,0.054394911936297814,0.054394911936297814,0.2501982919734434,0.013317848657442455,-0.39708437326137525,No-violate,No-violate,Violate,Violate,No-violate,0,0,1,1,0
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[-2, -3, 19, 13, 14, -25, -10, -15, 4]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, -2, 13, -15, -3, 2, -10, 19, 14, -25]","[-2, 13, -15, -3, -10, 19, 14, -25]",-0.2277829428115864,-0.2277829428115865,-0.2277829428115864,-0.2277829428115864,-0.7052402850058336,-0.2967869401860421,-0.10515191165403953,No-violate,No-violate,No-violate,Violate,Violate,0,0,0,1,1
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[10, -7, -19, -20, -30, 5, -19, 10]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[10, -19, 10, -7, 2, -30, 5, -19, -20]","[10, -19, 10, -7, -30, 5, -19]",0.10708743669567886,0.10708743669567886,0.10708743669567886,0.10708743669567886,0.46242471852418393,-0.10166929735482366,-0.14943019333986363,No-violate,No-violate,Violate,Violate,No-violate,0,0,1,1,0
9,"[4, -16, -7, -14]","[-16, -14, 4, -7]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[4, -16, -7, -14, 2]","[4, -16, -7]",0.6187665649844046,0.6187665649844046,0.6187665649844046,0.6187665649844046,1.0037707163004406,0.07362949710941546,0.12172925119590665,No-violate,No-violate,Violate,Violate,No-violate,0,0,1,1,0
