,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[-20, 4, -8, -21, 0, 11, -20, 3, -31, -8, -28, 4, -8, -11]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, 2, -8, -8, 4, -20]","[3, -11, 4, -28, 11, -31, -21, -20, 0, -8, -8, 4, -20]",156.96428571428572,156.96428571428572,156.96428571428572,627.8571428571429,error,154.7288888888889,168.85207100591717,No-violate,No-violate,error,Violate,Violate,0,0,error,1,1
1,"[15, -20, -11, 9]","[15, -11, 9, -20]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[15, -20, -11, 9, 2]","[-20, -11, 9]",203.6875,203.6875,203.6875,814.75,0.0068036903122130395,165.2,146.88888888888889,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-12, -6, -12, -12, -23, -22, 0, 14, -1, 7, -15]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-12, 14, -22, -23, -6, -12, 2, 0, -15, -12, -1, 7]","[-12, 14, -22, -6, -12, 0, -15, -12, -1, 7]",121.88429752066114,121.88429752066116,121.88429752066114,487.53719008264454,error,118.55555555555554,107.49000000000001,No-violate,No-violate,error,Violate,No-violate,0,0,error,1,0
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[2, 7, -25]",[-25],256.0,256.0,256.0,1024.0,0.008359183673469387,197.55555555555557,0.0,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
4,"[-22, 6, 2, -6]","[6, 2, -6, -22]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[-22, 6, 2, 2, -6]","[-22, 2, -6]",115.0,115.0,115.0,460.0,0.06399219467401285,99.83999999999999,99.55555555555554,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[2, -18]",[],0.0,0.0,0.0,0.0,0.0,100.0,error,No-violate,No-violate,No-violate,No-violate,error,0,0,0,0,error
6,"[4, 7, -10, 22, -19]","[7, 4, 22, -19, -10]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 7, -10, 2, 22, -19]","[4, 7, 22, -19]",201.35999999999999,201.36,201.35999999999999,805.4399999999999,0.01628434741859931,168.0,215.25,No-violate,No-violate,No-violate,Violate,Violate,0,0,0,1,1
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[14, 4, -15, -3, -2, -25, 19, -10, 13]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, -2, 13, 2, -15, -3, -10, 19, 14, -25]","[4, -2, 13, -15, -3, -10, 19, -25]",189.1358024691358,189.1358024691358,189.1358024691358,756.5432098765432,0.04609954067427305,170.81,182.984375,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[-30, 10, -7, 5, -20, -19, -19, 10]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[10, -19, 10, -7, -30, 5, 2, -19, -20]","[10, -19, 10, -7, -30, -19, -20]",210.4375,210.4375,210.4375,841.75,0.011121514380798489,198.46913580246914,209.63265306122452,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
9,"[4, -16, -7, -14]","[4, -7, -16, -14]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[4, 2, -16, -7, -14]","[4, -7, -14]",61.1875,61.1875,61.1875,244.75,0.02293427136479592,65.75999999999999,54.88888888888889,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
10,"[-27, -3]","[-3, -27]","[-25, -1]","[-54, -6]","[-0.037037037037037035, -0.3333333333333333]","[2, -27, -3]",[-3],144.0,144.0,144.0,576.0,0.02194787379972565,160.2222222222222,0.0,No-violate,No-violate,No-violate,No-violate,No-violate,0,0,0,0,0
11,"[0, 10, -2, 0]","[-2, 10, 0, 0]","[2, 12, 0, 2]","[0, 20, -4, 0]","['ZeroDivisionError', 0.1, -0.5, 'ZeroDivisionError']","[0, 2, 10, -2, 0]","[10, -2, 0]",22.0,22.0,22.0,88.0,error,17.6,27.555555555555557,No-violate,No-violate,error,Violate,Violate,0,0,error,1,1
12,"[-17, 23, 7, -15, 11, -23, -24, -2, -25]","[-24, -17, 7, -15, -23, -25, 23, 11, -2]","[-15, 25, 9, -13, 13, -21, -22, 0, -23]","[-34, 46, 14, -30, 22, -46, -48, -4, -50]","[-0.058823529411764705, 0.043478260869565216, 0.14285714285714285, -0.06666666666666667, 0.09090909090909091, -0.043478260869565216, -0.041666666666666664, -0.5, -0.04]","[-17, 23, 7, -15, 11, -23, -24, -2, -25, 2]","[-17, 7, -15, 11, -23, -24, -2, -25]",275.28395061728395,275.28395061728395,275.28395061728395,1101.1358024691358,0.02986602815570954,255.41,181.25,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,1,0
